"","R46G","G309S","S481Y","A583T","S25P","K102E","Q380K","G424D","W296A"
"VAR1",-0.396904345623913,0.212494505757242,0.448493798283394,-0.327192932098537,0.136149596249275,0.313480641540419,3.27647759389375,-0.220904325560873,0.129828415003082
"COX2",-0.878004957277788,1.2438295676631,1.88939170805797,-0.217354433857103,-0.0350968715875162,1.33661431295916,3.99541683136044,1.09674162775885,-1.25419989450178
"REP1",-0.0844039676467325,-0.331259127061262,0.253713121665445,-0.0526744116430677,-0.140864894452648,-0.551112397208101,-0.442690793979494,0.111973799882801,0.520883525709163
"REP2",-0.308104575928311,-0.3591155328815,-0.13774487207673,0.0551725353665731,0.403960917196883,-0.0608005859619816,0.183095345306125,0.0531577172204756,1.18635378068919
"EFB1",-0.163835940304047,-0.0459685281839555,-0.0211430813465796,-0.163901310495092,0.0589098891709909,-0.051726136077292,-0.00437353647300398,0.022748859993996,0.29618524787421
"SSA1",-1.2172579390373,-0.897459336406641,-0.602590358416364,-1.10253651045492,-0.996966321792353,-0.969346448020723,-0.960428418577727,-0.553412959854796,-0.705917832497079
"CYS3",0.00577961727024956,-0.0407878428431836,0.229575397540351,0.0657887009582545,0.300144117419993,0.218313132261201,0.252377103796107,0.0981766082912614,0.634045189475234
"DEP1",0.200129896007457,0.129883257939603,0.242706874784705,0.203385309010951,0.27273190572706,0.327994795184878,0.273972548474443,0.256295200817267,0.340003661908661
"TPD3",0.073176297546464,0.338682641128941,0.223597677848559,0.145508834263794,-0.0317365190615213,-0.00380337087639759,0.0934544056948994,0.122968573837888,-0.0280435433091313
"PSK1",0.0426476729277425,0.203101745115202,0.0855408370176001,1.02217933459262,0.405407778149527,0.153644746563288,-0.299148972403746,-0.18886194560536,-0.307742678208832
"FUN30",0.0568565345281371,0.218320875005148,-0.269380089434538,-0.287542156585911,0.308806535442809,1.3772533571177,-0.386699580151937,0.117739189687736,0.618727706977566
"CCR4",0.0890125447546559,-0.101485536241668,-0.1704264188139,0.0803025471512555,0.0705724141668824,0.0189985694800079,-0.25294058439335,0.0758441233303309,0.761440255035705
"PMT2",0.408585902816451,0.231500521517496,-0.162310354153451,0.218554938821409,-0.0455044139154914,0.894683467222599,0.129602368210406,-0.0112023539728341,-0.628452484717052
"MAK16",0.372331848956339,0.503561991285455,0.800021939483727,0.334196700801456,-0.00535538739368491,0.0120933288327763,0.529907837157964,0.265650917272751,1.215550613653
"MYO4",0.799677624361898,0.597391390073234,0.649408872500498,0.852858545076106,0.554994317291026,0.85409515370602,0.78964906161422,0.581068328051948,0.910680355912728
"PRP45",-0.823808527165525,-0.312235258103893,-0.649523963659629,-0.53241538295191,-0.645254783920418,-0.315097477798226,-0.550824608534558,-0.143062630974281,-0.262027064238833
"FUN12",0.902046325459931,0.545675773330455,0.177333443115653,0.621743724805981,0.051420811886743,-0.0151266506778249,0.596563015908725,0.169543903268089,0.699390862109702
"RBG1",0.603374399013155,0.57274102408282,0.2036583039223,0.493221289175299,0.200308873050016,0.21431188885418,0.46199654915625,0.2525422002936,1.11611800983748
"CDC19",0.118397123845121,-0.170542961395498,0.0458692043138313,0.114968972255468,-0.00463025443222875,0.0888640305497717,-0.00409006491916841,0.242767270742135,-0.163848989934714
"ERV46",0.289521238094096,-0.0844411590837737,0.10795553393374,0.117103915067347,0.224339816120938,0.164985920214544,0.202352546022702,0.250937487826921,0.827566872976256
"GCV3",-0.114404722874301,-0.653096992913845,-0.53471125528387,-0.145071085258813,-0.539852572669663,-0.61875409504432,-0.071509448547463,-0.197185012779805,-0.406644755309401
"BOL1",-0.66090280273712,-0.71968251950884,-0.346115554029247,-0.585635234782966,-0.17842740935507,-0.258259443809717,-0.40037741462929,-0.213845873045702,-0.076928085037018
"BOL3",-0.410992757164141,-0.601941198668634,0.383818359854779,-0.193300321796567,-0.241465110207589,0.182780509657466,0.0311842819783692,0.407427598153244,0.0569452242342123
"AIM2",0.0933441692876826,-0.127932254768467,0.0405693870765909,-0.064152877841078,-0.236029152878015,0.140817772509457,-0.552285463124015,-0.044010539622505,-0.531389542525517
"ACS1",1.22693792775556,1.52445473594749,0.419340843305182,0.687496675712371,1.11341433756384,1.00755746790363,0.596604236542021,0.696528733372556,-1.07204381573385
"ECM1",0.177239563835705,0.625381761849276,0.498135557848329,0.146937483814984,0.281529431559591,0.105049469046151,0.331526939078749,0.164253621536165,1.0564547923911
"BDH1",-0.539451101477255,-0.479763072990455,-0.126334498735751,-0.275018794814088,-0.169094265095033,-0.0272423329143372,-0.708852727028265,-0.0332443023610374,-1.12221648069698
"BDH2",-1.07556105753143,0.0570115298724474,-0.089138454812236,-1.01625730420075,-0.885686176898766,-0.845715150347633,-1.69879167235819,-0.21033959098456,-2.38345420677341
"GDH3",-0.598488910633037,-0.859269325109437,-0.166713030566825,-0.408078907543366,-0.0302856651945582,0.101586309102299,0.683912275288996,-0.031774526528018,0.622464472591119
"ERP1",0.4843104235967,0.616901110167465,0.0435073752420223,0.253269904929752,0.517635264399726,0.947479132686123,1.68474073614001,0.160930146516044,-0.145665529295901
"NUP60",-0.325414847424064,0.342265048488269,-0.0652806742505803,0.00508828054957533,-0.267058528995278,-0.450615658549154,-0.295567278103164,-0.404631441096878,0.0784779617067777
"RFA1",-0.158451796398115,-0.240062746329397,-0.162813478721237,-0.0558356740786827,-0.154710296652524,-0.0676396582294032,-0.234954604168166,0.11688129826419,-0.0579286238468235
"ADE1",0.35958720682623,-0.0667263795535149,0.320874869823054,0.151899317592804,0.103556209803813,0.132619797790838,-0.389007860602195,-0.0262013962213992,0.683287446473653
"SWH1",0.229512742547215,0.413296125009872,0.173917322994985,0.566998784505831,0.362804501631317,0.367994527916522,-0.253645025299676,0.635142510812404,0.698410061809721
"PHO11",0.78596561985837,1.19292215550804,1.10678870110627,1.15527685828806,1.93197008690136,1.33399553964371,0.917814317406286,1.0219659097704,5.89099169103265
